url,nat,cap,survived
/titanic-survivor/olive-earnshaw.html,American,Washington,survived
/titanic-survivor/caroline-endres.html,American,Washington,survived
/titanic-survivor/elizabeth-mussey-eustis.html,American,Washington,survived
/titanic-victim/edith-corse-evans.html,American,Washington,died
/titanic-survivor/antoinette-flegenheim.html,American,Washington,survived
/titanic-survivor/margaret-fleming.html,American,Washington,survived
/titanic-survivor/john-irwin-flynn.html,American,Washington,survived
/titanic-victim/benjamin-foreman.html,American,Washington,died
/titanic-survivor/henry-william-frauenthal.html,American,Washington,survived
/titanic-survivor/isaac-gerald-frauenthal.html,American,Washington,survived
/titanic-survivor/clara-frauenthal.html,American,Washington,survived
/titanic-victim/jacques-futrelle.html,American,Washington,died
/titanic-survivor/lily-may-futrelle.html,American,Washington,survived
/titanic-survivor/dorothy-gibson.html,American,Washington,survived
/titanic-survivor/pauline-gibson.html,American,Washington,survived
/titanic-survivor/samuel-goldenberg.html,American,Washington,survived
/titanic-survivor/nella-goldenberg.html,American,Washington,survived
/titanic-victim/george-goldschmidt.html,American,Washington,died
/titanic-survivor/colonel-archibald-gracie.html,American,Washington,survived
/titanic-survivor/margaret-edith-graham.html,American,Washington,survived
/titanic-survivor/edith-graham.html,American,Washington,survived
/titanic-survivor/william-bertram-greenfield.html,American,Washington,survived
/titanic-survivor/blanche-greenfield.html,American,Washington,survived
/titanic-victim/benjamin-guggenheim.html,American,Washington,died
/titanic-survivor/george-achilles-harder.html,American,Washington,survived
/titanic-survivor/dorothy-harder.html,American,Washington,survived
/titanic-survivor/henry-sleeper-harper.html,American,Washington,survived
/titanic-survivor/myra-harper.html,American,Washington,survived
/titanic-survivor/irene-harris.html,American,Washington,survived
/titanic-victim/henry-birkhardt-harris.html,American,Washington,died
/titanic-survivor/margaret-bechstein-hays.html,American,Washington,survived
/titanic-victim/charles-melville-hays.html,American,Washington,died
/titanic-survivor/clara-jennings-hays.html,American,Washington,survived
/titanic-survivor/ida-hippach.html,American,Washington,survived
/titanic-survivor/jean-gertrude-hippach.html,American,Washington,survived
/titanic-survivor/anna-hogeboom.html,American,Washington,survived
/titanic-victim/alexander-oskar-holverson.html,American,Washington,died
/titanic-survivor/mary-alice-holverson.html,American,Washington,survived
/titanic-survivor/harry-homer.html,American,Washington,survived
/titanic-survivor/jane-anne-hoyt.html,American,Washington,survived
/titanic-victim/william-fisher-hoyt.html,American,Washington,died
/titanic-survivor/frederick-maxfield-hoyt.html,American,Washington,survived
/titanic-victim/ann-elizabeth-isham.html,American,Washington,died
/titanic-victim/charles-cresson-jones.html,American,Washington,died
/titanic-victim/edward-austin-kent.html,American,Washington,died
/titanic-victim/frederick-kenyon.html,American,Washington,died
/titanic-survivor/marion-kenyon.html,American,Washington,survived
/titanic-survivor/edwin-nelson-kimball.html,American,Washington,survived
/titanic-survivor/gertrude-kimball.html,American,Washington,survived
/titanic-victim/herman-klaber.html,American,Washington,died
/titanic-survivor/alice-leader.html,American,Washington,survived
/titanic-victim/ervin-lewy.html,American,Washington,died
/titanic-survivor/mary-conover-lines.html,American,Washington,survived
/titanic-survivor/elizabeth-lines.html,American,Washington,survived
/titanic-victim/milton-clyde-long.html,American,Washington,died
/titanic-survivor/gretchen-fiske-longley.html,American,Washington,survived
/titanic-victim/joseph-holland-loring.html,American,Washington,died
/titanic-survivor/georgette-madill.html,American,Washington,survived
/titanic-victim/john-edward-maguire.html,American,Washington,died
/titanic-victim/daniel-warner-marvin.html,American,Washington,died
/titanic-survivor/mary-marvin.html,American,Washington,survived
/titanic-victim/timothy-mccarthy.html,American,Washington,died
/titanic-victim/edgar-meyer.html,American,Washington,died
/titanic-survivor/leila-meyer.html,American,Washington,survived
/titanic-victim/francis-davis-millet.html,American,Washington,died
/titanic-survivor/daisy-minahan.html,American,Washington,survived
/titanic-victim/william-edward-minahan.html,American,Washington,died
/titanic-survivor/lillian-minahan.html,American,Washington,survived
/titanic-survivor/philipp-mock.html,American,Washington,survived
/titanic-victim/clarence-moore.html,American,Washington,died
/titanic-victim/charles-natsch.html,American,Washington,died
/titanic-survivor/marjorie-anne-newell.html,American,Washington,survived
/titanic-survivor/madeleine-newell.html,American,Washington,survived
/titanic-victim/arthur-webster-newell.html,American,Washington,died
/titanic-survivor/helen-monypeny-newsom.html,American,Washington,survived
/titanic-victim/walter-chamberlain-porter.html,American,Washington,died
/titanic-survivor/lily-alexenia-potter.html,American,Washington,survived
/titanic-survivor/george-rheims.html,American,Washington,survived
/titanic-survivor/elisabeth-walton-robert.html,American,Washington,survived
/titanic-victim/washington-roebling.html,American,Washington,died
/titanic-survivor/charles-romaine.html,American,Washington,survived
/titanic-victim/hugh-rood.html,American,Washington,died
/titanic-survivor/edith-russell.html,American,Washington,survived
/titanic-victim/martin-rothschild.html,American,Washington,died
/titanic-survivor/elizabeth-jane-anne-rothschild.html,American,Washington,survived
/titanic-survivor/suzette-ryerson.html,American,Washington,survived
/titanic-survivor/emily-ryerson.html,American,Washington,survived
/titanic-survivor/john-borie-ryerson.html,American,Washington,survived
/titanic-survivor/emily-borie-ryerson.html,American,Washington,survived
/titanic-victim/arthur-ryerson.html,American,Washington,died
/titanic-survivor/abraham-salomon.html,American,Washington,survived
/titanic-survivor/emma-schabert.html,American,Washington,survived
/titanic-survivor/frederic-kimber-seward.html,American,Washington,survived
/titanic-survivor/elizabeth-weed-shutes.html,American,Washington,survived
/titanic-victim/william-baird-silvey.html,American,Washington,died
/titanic-survivor/alice-silvey.html,American,Washington,survived
/titanic-survivor/william-thompson-sloper.html,American,Washington,survived
/titanic-victim/john-montgomery-smart.html,American,Washington,died
/titanic-victim/james-clinch-smith.html,American,Washington,died
/titanic-victim/lucian-philip-smith.html,American,Washington,died
/titanic-survivor/mary-eloise-smith.html,American,Washington,survived
/titanic-survivor/john-pillsbury-snyder.html,American,Washington,survived
/titanic-survivor/nelle-snyder.html,American,Washington,survived
/titanic-survivor/frederic-oakley-spedden.html,American,Washington,survived
/titanic-survivor/margaretta-corning-spedden.html,American,Washington,survived
/titanic-survivor/robert-douglas-spedden.html,American,Washington,survived
/titanic-victim/william-augustus-spencer.html,American,Washington,died
/titanic-survivor/charles-stengel.html,American,Washington,survived
/titanic-survivor/annie-may-stengel.html,American,Washington,survived
/titanic-survivor/martha-stephenson.html,American,Washington,survived
/titanic-victim/albert-stewart.html,American,Washington,died
/titanic-survivor/martha-evelyn-stone.html,American,Washington,survived
/titanic-victim/isidor-straus.html,American,Washington,died
/titanic-survivor/margaret-welles-swift.html,American,Washington,survived
/titanic-survivor/ruth-taussig.html,American,Washington,survived
/titanic-victim/emil-taussig.html,American,Washington,died
/titanic-survivor/tillie-taussig.html,American,Washington,survived
/titanic-survivor/juliet-cummins-taylor.html,American,Washington,survived
/titanic-survivor/elmer-zebley-taylor.html,American,Washington,survived
/titanic-survivor/john-borland-thayer-jr.html,American,Washington,survived
/titanic-victim/john-borland-thayer.html,American,Washington,died
/titanic-survivor/marian-thayer.html,American,Washington,survived
/titanic-survivor/gertrude-maybelle-thorne.html,American,Washington,survived
/titanic-survivor/gilbert-milligan-jr-tucker.html,American,Washington,survived
/titanic-victim/wyckoff-van-der-hoef.html,American,Washington,died
/titanic-victim/william-anderson-walker.html,American,Washington,died
/titanic-survivor/annie-moore-ward.html,American,Washington,survived
