url,ticket,nat,home,job
/titanic-victim/henry-forbes-julian.html,113044,"Irish
 English","Torquay, Devon, England",Metallurgist
/titanic-victim/edwin-herbert-keeping.html,113503,English,,Servant       to Mr George Dunton Widener
/titanic-victim/edward-austin-kent.html,11771,American,"Buffalo, New York, United States",Architect
/titanic-victim/frederick-kenyon.html,17464,American,"Pittsburgh, Pennsylvania, United States",
/titanic-survivor/marion-kenyon.html,17464,American,"Pittsburgh, Pennsylvania, United States",
/titanic-survivor/edwin-nelson-kimball.html,11753,American,"Boston, Massachusetts, United States",
/titanic-survivor/gertrude-kimball.html,11753,American,"Boston, Massachusetts, United States",
/titanic-victim/herman-klaber.html,113028,American,"Portland, Oregon, United States",Businessman
/titanic-survivor/emilie-kreuchen.html,24160,"German
 American",,Personal Maid       to Mrs Elisabeth Walton Robert
/titanic-survivor/alice-leader.html,17465,American,"New York City, New York, United States",Doctor
/titanic-survivor/berthe-leroy.html,17761,French,,Personal Maid       to Mrs Mahala Douglas
/titanic-survivor/gustave-lesueur.html,17755,French,,Servant       to Mr Thomas Drake Martinez Cardeza
/titanic-victim/ervin-lewy.html,17612,American,"5628 South Park Avenue Chicago, Illinois, United States",Jeweller
/titanic-victim/erik-lindeberg-lind.html,17475,Swedish,"Jordanstorp, Sweden",Businessman
/titanic-survivor/sigrid-lindstrom.html,112377,Swedish,"Östermalmsgatan 20Stockholm, Uppland, Sweden",
/titanic-survivor/mary-conover-lines.html,17592,American,"Paris, France",
/titanic-survivor/elizabeth-lines.html,17592,American,"Paris, France",
/titanic-victim/milton-clyde-long.html,113501,American,"Springfield, United States",
/titanic-survivor/gretchen-fiske-longley.html,13502,American,"Hudson, New York, United States",
/titanic-victim/joseph-holland-loring.html,113801,American,"New York City, New York, United States",Stockbroker
/titanic-survivor/elise-lurette.html,17569,French,,Personal Maid       to Mrs Marie Eugenie Spencer
/titanic-survivor/georgette-madill.html,24160,American,"St. Louis, Missouri, United States",
/titanic-victim/john-edward-maguire.html,110469,American,"Brockton, Massachusetts, United States",
/titanic-survivor/roberta-maioni.html,110152,English,"London, England","Personal Maid       to  Lucy Noël Martha, Countess of Rothes"
/titanic-survivor/pierre-marechal.html,11774,French,"Paris, France",Aviator
/titanic-victim/daniel-warner-marvin.html,113773,American,"New York City, New York, United States",Of Independent Means
/titanic-survivor/mary-marvin.html,113773,"Scottish
 American","New York City, New York, United States",
/titanic-survivor/bertha-mayne.html,17482,Belgian,"Brussels, Belgium",Singer
/titanic-victim/thomas-francis-mccaffry.html,13050,Canadian,"Vancouver, British Colombia, Canada",Banker
/titanic-victim/timothy-mccarthy.html,17463,American,"52 Nelson Street Dorchester, Massachusetts, United States",Buyer
/titanic-survivor/james-mcgough.html,17473,Irish,"Philadelphia, Pennsylvania, United States",Buyer
/titanic-victim/edgar-meyer.html,17604,American,"New York City, New York, United States",Mechanical Engineer
/titanic-survivor/leila-meyer.html,17604,American,"New York City, New York, United States",
/titanic-victim/francis-davis-millet.html,13509,American,"East Bridgewater, Massachusetts, United States",Artist
/titanic-survivor/daisy-minahan.html,19928,American,"Green Bay, Wisconsin, United States",
/titanic-victim/william-edward-minahan.html,19928,American,"Fond du Lac, Wisconsin, United States",Merchant
/titanic-survivor/lillian-minahan.html,19928,American,"Fond du Lac, Wisconsin, United States",
/titanic-survivor/philipp-mock.html,13236,American,"New York City, New York, United States",
/titanic-victim/harry-molson.html,113787,Canadian,"Montréal, Québéc, Canada",Businessman
/titanic-victim/clarence-moore.html,113796,American,"Washington DC, United States",Businessman
/titanic-victim/charles-natsch.html,17596,American,"Brooklyn, New York, United States",
/titanic-survivor/marjorie-anne-newell.html,35273,American,"Lexington, Massachusetts, United States",
