ville,lien,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Agudelle (17500),/management/ville/agudelle/ville-17002,8.0,8.1,8.5,7.3,6.4,7.9,8.4,8.3,9.1,9.6,9.0,9.8,9.7
Aguessac (12520),/management/ville/aguessac/ville-12002,6.9,7.1,7.7,6.9,6.6,8.3,8.4,8.3,8.9,10.0,9.7,10.3,9.8
Aguilcourt (02190),/management/ville/aguilcourt/ville-02005,9.2,9.5,9.7,9.0,8.6,10.5,11.2,11.3,12.4,13.3,12.4,12.8,12.5
Aguts (81470),/management/ville/aguts/ville-81001,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
Agy (14400),/management/ville/agy/ville-14003,7.4,7.5,8.3,7.2,6.3,8.2,7.8,7.9,8.9,9.2,8.9,9.4,8.7
Ahaxe-Alciette-Bascassan (64220),/management/ville/ahaxe-alciette-bascassan/ville-64008,7.6,7.6,7.3,7.0,6.3,8.0,7.9,7.9,8.7,9.2,8.8,9.2,8.7
Ahetze (64210),/management/ville/ahetze/ville-64009,7.6,7.6,7.3,7.0,6.3,8.0,7.9,7.9,8.7,9.2,8.8,9.2,8.7
Ahéville (88500),/management/ville/aheville/ville-88002,8.9,9.6,9.9,8.7,8.1,10.4,9.9,9.7,10.9,11.7,11.7,12.1,11.2
Ahuillé (53940),/management/ville/ahuille/ville-53001,5.1,5.4,5.6,4.8,4.5,6.6,6.3,5.7,6.3,7.1,6.7,7.1,6.6
Ahun (23150),/management/ville/ahun/ville-23001,7.2,7.4,7.3,7.0,6.7,8.0,8.4,9.0,9.5,10.0,9.5,9.8,9.4
Ahuy (21121),/management/ville/ahuy/ville-21003,7.0,7.0,7.0,6.5,5.7,7.3,7.5,7.2,7.8,8.8,8.3,8.8,8.4
Aibes (59149),/management/ville/aibes/ville-59003,12.8,12.8,13.3,12.3,10.9,14.7,15.0,14.4,14.9,15.8,15.1,15.3,15.0
Aibre (25750),/management/ville/aibre/ville-25008,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
Aïcirits-Camou-Suhast (64120),/management/ville/aicirits-camou-suhast/ville-64010,7.6,7.6,7.3,7.0,6.3,8.0,7.9,7.9,8.7,9.2,8.8,9.2,8.7
Aiffres (79230),/management/ville/aiffres/ville-79003,6.2,6.1,6.5,5.9,5.3,6.8,7.1,6.6,7.3,7.8,7.6,8.1,7.6
Aigaliers (30700),/management/ville/aigaliers/ville-30001,12.1,11.9,12.4,11.6,10.3,11.9,12.1,11.9,12.7,13.9,13.8,14.2,13.3
Aiglemont (08090),/management/ville/aiglemont/ville-08003,12.2,12.0,13.1,11.2,10.2,13.0,11.5,11.0,12.3,13.4,12.8,13.4,12.5
Aiglepierre (39110),/management/ville/aiglepierre/ville-39006,5.5,5.7,6.0,5.2,5.0,6.8,6.7,5.9,6.1,6.7,6.4,6.8,6.6
Aigleville (27120),/management/ville/aigleville/ville-27004,7.8,8.0,8.4,7.7,7.0,8.9,9.1,8.9,9.7,10.6,10.2,10.3,10.1
Aiglun (04510),/management/ville/aiglun/ville-04001,7.5,8.0,8.3,8.5,8.3,9.2,9.0,9.5,10.5,11.3,11.3,11.9,11.1
Aignan (32290),/management/ville/aignan/ville-32001,6.2,6.3,6.4,5.8,5.1,6.4,6.6,6.9,7.5,7.8,7.8,8.3,8.0
Aignay-le-Duc (21510),/management/ville/aignay-le-duc/ville-21004,7.0,7.0,7.0,6.5,5.7,7.3,7.5,7.2,7.8,8.8,8.3,8.8,8.4
Aigne (34210),/management/ville/aigne/ville-34006,11.4,11.5,11.6,11.2,10.7,13.1,13.3,13.2,14.4,15.2,15.1,15.0,14.5
Aigné (72650),/management/ville/aigne/ville-72001,7.0,7.4,7.9,7.0,6.3,8.8,8.8,8.4,9.0,10.1,9.9,10.4,9.9
Aignes (31550),/management/ville/aignes/ville-31002,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
Aigneville (80210),/management/ville/aigneville/ville-80008,8.1,8.3,8.1,7.3,7.1,11.1,9.7,9.1,9.9,10.8,10.2,10.4,10.4
Aigny (51150),/management/ville/aigny/ville-51003,6.1,6.5,6.9,6.4,5.9,7.8,7.3,7.4,8.3,9.4,8.9,9.0,8.4
Aigonnay (79370),/management/ville/aigonnay/ville-79004,6.2,6.1,6.5,5.9,5.3,6.8,7.1,6.6,7.3,7.8,7.6,8.1,7.6
Aigre (16140),/management/ville/aigre/ville-16005,8.4,8.6,8.8,8.2,7.6,9.4,9.1,9.2,10.3,10.9,10.3,10.6,10.1
Aigrefeuille (31280),/management/ville/aigrefeuille/ville-31003,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
Aigrefeuille-d'Aunis (17290),/management/ville/aigrefeuille-d-aunis/ville-17003,9.6,9.5,9.4,8.6,7.9,9.7,9.4,9.0,9.7,10.7,10.4,10.9,10.2
Aigrefeuille-sur-Maine (44140),/management/ville/aigrefeuille-sur-maine/ville-44002,7.4,7.4,7.3,6.6,5.7,7.5,7.6,7.1,7.5,8.2,8.1,8.6,7.9
Aigremont (30350),/management/ville/aigremont/ville-30002,12.1,11.9,12.4,11.6,10.3,11.9,12.1,11.9,12.7,13.9,13.8,14.2,13.3
Aiguebelette-le-Lac (73610),/management/ville/aiguebelette-le-lac/ville-73001,6.8,6.6,6.4,5.9,5.4,7.4,7.7,7.2,7.5,8.0,7.9,8.3,7.8
Aiguebelle (73220),/management/ville/aiguebelle/ville-73002,6.8,6.6,6.4,5.9,5.4,7.4,7.7,7.2,7.5,8.0,7.9,8.3,7.8
Aigueblanche (73260),/management/ville/aigueblanche/ville-73003,6.8,6.6,6.7,6.4,5.4,7.8,7.8,7.2,7.7,8.1,8.3,8.2,7.5
Aiguefonde (81200),/management/ville/aiguefonde/ville-81002,9.7,9.8,10.4,9.8,9.1,10.6,10.3,10.4,11.1,11.7,11.6,11.7,11.0
Aigueperse (63260),/management/ville/aigueperse/ville-63001,7.1,7.2,7.3,7.0,6.4,8.1,8.1,7.8,8.2,8.6,8.4,8.7,8.3
Aigues-Juntes (09240),/management/ville/aigues-juntes/ville-09001,8.4,9.0,9.6,9.0,8.2,10.2,10.3,10.1,11.4,12.4,11.9,12.2,11.8
Aigues-Mortes (30220),/management/ville/aigues-mortes/ville-30003,11.9,11.9,11.7,10.7,9.7,11.7,11.7,11.9,12.8,13.8,13.5,13.6,12.8
Aigues-Vives (09600),/management/ville/aigues-vives/ville-09002,8.4,9.0,9.6,9.0,8.2,10.2,10.3,10.1,11.4,12.4,11.9,12.2,11.8
Aiguèze (30760),/management/ville/aigueze/ville-30005,10.2,10.3,10.5,9.7,9.0,10.6,10.4,10.6,11.2,12.5,12.2,12.5,12.1
Aiguilhe (43000),/management/ville/aiguilhe/ville-43002,6.8,6.6,7.1,6.6,5.8,6.9,7.0,6.8,7.5,8.4,8.4,8.5,8.4
Aiguilles (05470),/management/ville/aiguilles/ville-05003,7.5,7.7,7.9,7.9,6.6,7.4,7.4,7.3,8.0,9.0,9.1,9.1,8.5
Aiguillon (47190),/management/ville/aiguillon/ville-47004,8.2,8.1,8.6,7.7,6.9,8.4,8.7,8.2,9.1,9.7,9.4,9.7,9.4
Aiguines (83630),/management/ville/aiguines/ville-83002,11.1,11.1,10.8,10.4,9.5,11.5,11.2,11.3,12.0,12.8,12.7,12.8,11.9
Aigurande (36140),/management/ville/aigurande/ville-36001,7.5,7.9,8.2,6.6,5.9,7.8,8.0,7.7,8.6,9.3,9.4,9.7,9.6
