ville,lien,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kermoroc'h (22140),/management/ville/kermoroc-h/ville-22091,7.6,7.6,7.9,7.4,6.4,7.8,7.9,8.3,9.0,9.9,10.1,10.5,10.1
Kernascléden (56540),/management/ville/kernascleden/ville-56264,8.6,8.4,8.7,8.3,7.4,9.1,8.9,8.3,9.1,10.1,10.1,10.4,10.0
Kernilis (29260),/management/ville/kernilis/ville-29093,7.4,7.5,7.6,7.2,6.3,7.8,8.0,7.7,8.2,9.1,8.8,9.2,8.9
Kernouës (29260),/management/ville/kernoues/ville-29094,7.4,7.5,7.6,7.2,6.3,7.8,8.0,7.7,8.2,9.1,8.8,9.2,8.9
Kerpert (22480),/management/ville/kerpert/ville-22092,6.5,6.7,7.0,6.3,5.7,7.3,7.4,7.3,8.0,8.8,8.7,9.0,8.7
Kerprich-aux-Bois (57830),/management/ville/kerprich-aux-bois/ville-57362,6.0,6.1,6.4,5.3,5.1,7.5,7.2,6.7,7.3,8.2,8.0,8.3,7.9
Kersaint-Plabennec (29860),/management/ville/kersaint-plabennec/ville-29095,7.4,7.5,7.6,7.2,6.3,7.8,8.0,7.7,8.2,9.1,8.8,9.2,8.9
Kertzfeld (67230),/management/ville/kertzfeld/ville-67233,8.0,8.5,9.0,8.1,7.4,9.3,9.5,9.0,9.6,10.3,10.0,10.5,9.9
Kervignac (56700),/management/ville/kervignac/ville-56094,8.6,8.4,8.7,8.3,7.4,9.1,8.9,8.3,9.1,10.1,10.1,10.4,10.0
Keskastel (67260),/management/ville/keskastel/ville-67234,6.2,6.2,6.5,5.3,4.9,7.0,6.8,6.2,7.1,7.6,7.5,7.8,7.6
Kesseldorf (67930),/management/ville/kesseldorf/ville-67235,5.8,6.1,5.6,4.5,4.1,6.4,6.3,5.5,5.8,6.4,6.1,6.3,6.0
Kienheim (67270),/management/ville/kienheim/ville-67236,8.0,8.5,9.0,8.1,7.4,9.3,9.5,9.0,9.6,10.3,10.0,10.5,9.9
Kiffis (68480),/management/ville/kiffis/ville-68165,5.8,6.4,6.8,6.0,5.0,6.4,6.5,6.0,6.7,7.3,7.4,7.7,7.7
Killem (59122),/management/ville/killem/ville-59326,10.5,10.9,11.3,10.2,9.7,12.2,12.0,11.8,12.0,12.5,11.8,12.0,11.8
Kilstett (67840),/management/ville/kilstett/ville-67237,6.2,6.0,6.3,5.1,4.7,7.3,7.0,6.3,6.6,7.4,7.1,7.4,7.2
Kindwiller (67350),/management/ville/kindwiller/ville-67238,6.2,6.0,6.3,5.1,4.7,7.3,7.0,6.3,6.6,7.4,7.1,7.4,7.2
Kingersheim (68260),/management/ville/kingersheim/ville-68166,8.4,9.2,10.3,9.4,8.0,10.2,10.0,9.7,10.8,11.7,11.3,11.6,11.1
Kintzheim (67600),/management/ville/kintzheim/ville-67239,5.8,6.4,6.5,5.5,5.5,7.3,7.3,7.1,7.3,7.9,7.6,7.9,7.6
Kirchberg (68290),/management/ville/kirchberg/ville-68167,8.4,9.2,10.3,9.4,8.0,10.2,10.0,9.7,10.8,11.7,11.3,11.6,11.1
Kirchheim (67520),/management/ville/kirchheim/ville-67240,4.8,5.2,5.2,4.3,4.1,6.1,5.8,5.7,6.0,6.9,6.7,6.7,6.4
Kirrberg (67320),/management/ville/kirrberg/ville-67241,6.2,6.2,6.5,5.3,4.9,7.0,6.8,6.2,7.1,7.6,7.5,7.8,7.6
Kirrwiller (67330),/management/ville/kirrwiller/ville-67242,6.2,6.0,6.3,5.1,4.7,7.3,7.0,6.3,6.6,7.4,7.1,7.4,7.2
Kirsch-lès-Sierck (57480),/management/ville/kirsch-les-sierck/ville-57364,7.8,8.2,8.8,7.9,6.9,9.7,9.1,8.8,9.5,10.5,10.1,10.3,9.5
Kirschnaumen (57480),/management/ville/kirschnaumen/ville-57365,7.8,8.2,8.8,7.9,6.9,9.7,9.1,8.8,9.5,10.5,10.1,10.3,9.5
Kirviller (57430),/management/ville/kirviller/ville-57366,8.0,8.1,8.4,7.5,6.6,9.4,9.1,8.9,9.1,10.3,9.9,9.7,9.2
Klang (57920),/management/ville/klang/ville-57367,7.8,8.2,8.8,7.9,6.9,9.7,9.1,8.8,9.5,10.5,10.1,10.3,9.5
Kleingœft (67440),/management/ville/kleingoeft/ville-67244,6.2,6.2,6.5,5.3,4.9,7.0,6.8,6.2,7.1,7.6,7.5,7.8,7.6
Knutange (57240),/management/ville/knutange/ville-57368,7.8,8.2,8.8,7.9,6.9,9.7,9.1,8.8,9.5,10.5,10.1,10.3,9.5
Knœringue (68220),/management/ville/knoeringue/ville-68168,5.8,6.4,6.8,6.0,5.0,6.4,6.5,6.0,6.7,7.3,7.4,7.7,7.7
Knœrsheim (67310),/management/ville/knoersheim/ville-67245,6.2,6.2,6.5,5.3,4.9,7.0,6.8,6.2,7.1,7.6,7.5,7.8,7.6
Kogenheim (67230),/management/ville/kogenheim/ville-67246,5.8,6.4,6.5,5.5,5.5,7.3,7.3,7.1,7.3,7.9,7.6,7.9,7.6
Kolbsheim (67120),/management/ville/kolbsheim/ville-67247,4.8,5.2,5.2,4.3,4.1,6.1,5.8,5.7,6.0,6.9,6.7,6.7,6.4
Krautergersheim (67880),/management/ville/krautergersheim/ville-67248,4.8,5.2,5.2,4.3,4.1,6.1,5.8,5.7,6.0,6.9,6.7,6.7,6.4
Krautwiller (67170),/management/ville/krautwiller/ville-67249,8.0,8.5,9.0,8.1,7.4,9.3,9.5,9.0,9.6,10.3,10.0,10.5,9.9
Kriegsheim (67170),/management/ville/kriegsheim/ville-67250,6.2,6.0,6.3,5.1,4.7,7.3,7.0,6.3,6.6,7.4,7.1,7.4,7.2
Kruth (68820),/management/ville/kruth/ville-68171,8.4,9.2,10.3,9.4,8.0,10.2,10.0,9.7,10.8,11.7,11.3,11.6,11.1
Kunheim (68320),/management/ville/kunheim/ville-68172,5.8,6.4,6.6,6.1,5.6,7.9,7.7,7.3,7.9,8.5,8.1,8.3,8.0
Kuntzig (57970),/management/ville/kuntzig/ville-57372,7.8,8.2,8.8,7.9,6.9,9.7,9.1,8.8,9.5,10.5,10.1,10.3,9.5
Kurtzenhouse (67240),/management/ville/kurtzenhouse/ville-67252,6.2,6.0,6.3,5.1,4.7,7.3,7.0,6.3,6.6,7.4,7.1,7.4,7.2
Kuttolsheim (67520),/management/ville/kuttolsheim/ville-67253,8.0,8.5,9.0,8.1,7.4,9.3,9.5,9.0,9.6,10.3,10.0,10.5,9.9
Kutzenhausen (67250),/management/ville/kutzenhausen/ville-67254,6.2,6.0,6.3,5.1,4.7,7.3,7.0,6.3,6.6,7.4,7.1,7.4,7.2
Kœnigsmacker (57970),/management/ville/koenigsmacker/ville-57370,7.8,8.2,8.8,7.9,6.9,9.7,9.1,8.8,9.5,10.5,10.1,10.3,9.5
Kœstlach (68480),/management/ville/koestlach/ville-68169,5.8,6.4,6.8,6.0,5.0,6.4,6.5,6.0,6.7,7.3,7.4,7.7,7.7
Kœtzingue (68510),/management/ville/koetzingue/ville-68170,5.8,6.4,6.8,6.0,5.0,6.4,6.5,6.0,6.7,7.3,7.4,7.7,7.7
Kœur-la-Grande (55300),/management/ville/koeur-la-grande/ville-55263,8.5,9.6,10.0,9.7,8.5,10.2,10.6,10.1,11.1,12.1,11.3,11.7,11.1
Kœur-la-Petite (55300),/management/ville/koeur-la-petite/ville-55264,8.5,9.6,10.0,9.7,8.5,10.2,10.6,10.1,11.1,12.1,11.3,11.7,11.1
L'Abergement-Clémenciat (01400),/management/ville/l-abergement-clemenciat/ville-01001,5.9,5.8,5.7,5.3,4.7,6.7,6.3,6.0,6.5,7.1,6.8,7.1,6.8
L'Abergement-de-Cuisery (71290),/management/ville/l-abergement-de-cuisery/ville-71001,7.6,7.4,7.7,6.9,6.2,8.2,8.5,8.3,9.1,9.5,9.0,9.4,9.2
L'Abergement-de-Varey (01640),/management/ville/l-abergement-de-varey/ville-01002,6.0,6.0,6.0,5.1,4.9,7.1,7.3,6.7,7.4,7.7,7.3,7.8,7.4
L'Abergement-Sainte-Colombe (71370),/management/ville/l-abergement-sainte-colombe/ville-71002,7.6,7.4,7.7,6.9,6.2,8.2,8.5,8.3,9.1,9.5,9.0,9.4,9.2
L'Absie (79240),/management/ville/l-absie/ville-79001,5.6,5.0,6.2,4.6,4.3,6.6,6.2,5.7,6.4,7.3,7.0,7.4,7.3
L'Aigle (61300),/management/ville/l-aigle/ville-61214,7.8,8.4,8.5,7.8,7.7,10.9,10.2,9.5,10.0,10.5,10.2,10.3,9.4
L'Aiguillon (09300),/management/ville/l-aiguillon/ville-09003,8.4,9.0,9.6,9.0,8.2,10.2,10.3,10.1,11.4,12.4,11.9,12.2,11.8
L'Aiguillon-sur-Mer (85460),/management/ville/l-aiguillon-sur-mer/ville-85001,6.0,6.2,6.5,5.6,5.3,8.0,7.5,7.0,7.6,8.5,8.4,8.8,8.2
L'Aiguillon-sur-Vie (85220),/management/ville/l-aiguillon-sur-vie/ville-85002,7.3,8.1,8.3,7.1,6.4,9.3,9.2,8.4,9.1,10.4,10.0,10.2,9.2
L'Ajoupa-Bouillon (97216),/management/ville/l-ajoupa-bouillon/ville-97201,19.6,18.0,22.7,20.2,21.2,21.3,20.4,20.5,20.1,20.6,20.8,19.6,19.6
L'Albenc (38470),/management/ville/l-albenc/ville-38004,7.4,7.3,7.2,6.6,5.9,7.9,7.5,7.3,7.6,8.1,7.9,8.4,8.0
L'Albère (66480),/management/ville/l-albere/ville-66001,11.2,11.2,11.1,11.2,10.1,12.5,12.7,13.0,14.3,15.6,15.5,16.3,15.9
L'Arbresle (69210),/management/ville/l-arbresle/ville-69010,7.8,7.9,7.8,7.2,6.2,8.3,8.4,8.1,8.8,9.3,9.1,9.3,8.8
L'Argentière-la-Bessée (05120),/management/ville/l-argentiere-la-bessee/ville-05006,7.5,7.7,7.9,7.9,6.6,7.4,7.4,7.3,8.0,9.0,9.1,9.1,8.5
L'Écaille (08300),/management/ville/l-ecaille/ville-08148,8.5,9.0,9.4,8.1,7.3,9.4,9.1,9.0,9.9,11.0,10.8,10.9,10.5
L'Échelle (08150),/management/ville/l-echelle/ville-08149,12.2,12.0,13.1,11.2,10.2,13.0,11.5,11.0,12.3,13.4,12.8,13.4,12.5
L'Échelle-Saint-Aurin (80700),/management/ville/l-echelle-saint-aurin/ville-80263,10.0,10.0,10.5,10.0,8.9,11.0,11.0,10.7,11.8,12.5,11.9,12.1,11.9
L'Écouvotte (25640),/management/ville/l-ecouvotte/ville-25215,6.9,7.2,7.4,6.8,6.2,8.2,8.1,7.4,7.8,8.4,8.1,8.5,8.1
L'Église-aux-Bois (19170),/management/ville/l-eglise-aux-bois/ville-19074,4.7,4.8,4.6,4.0,3.8,5.2,5.1,5.1,5.8,6.6,6.4,6.8,6.8
L'Éguille (17600),/management/ville/l-eguille/ville-17151,10.4,10.5,10.6,9.5,8.4,10.4,10.4,10.2,10.8,12.0,11.4,12.1,11.3
L'Épine (05700),/management/ville/l-epine/ville-05048,7.1,7.4,7.3,7.1,6.4,7.4,7.4,7.8,8.5,9.1,8.9,9.2,8.7
L'Épine-aux-Bois (02540),/management/ville/l-epine-aux-bois/ville-02281,9.0,9.5,9.6,8.9,8.3,10.5,10.7,10.4,11.6,12.4,11.4,11.6,11.1
L'Escale (04160),/management/ville/l-escale/ville-04079,7.5,8.0,8.3,8.5,8.3,9.2,9.0,9.5,10.5,11.3,11.3,11.9,11.1
L'Escarène (06440),/management/ville/l-escarene/ville-06057,8.1,8.1,8.0,7.3,6.5,8.2,8.2,8.3,9.2,10.2,10.3,10.9,10.3
L'Estréchure (30124),/management/ville/l-estrechure/ville-30108,12.7,12.2,13.1,12.3,11.4,12.4,12.0,11.8,12.3,13.3,13.3,14.1,13.3
L'Étang-Bertrand (50260),/management/ville/l-etang-bertrand/ville-50176,9.3,9.6,9.8,8.9,7.8,9.6,9.2,9.1,9.3,9.7,9.5,9.5,8.8
L'Étang-la-Ville (78620),/management/ville/l-etang-la-ville/ville-78224,9.0,8.8,8.5,7.8,6.7,7.8,8.1,7.9,8.4,8.8,8.7,9.0,8.4
L'Étang-Salé (97427),/management/ville/l-etang-sale/ville-97404,37.9,36.1,34.2,31.8,32.4,35.0,36.5,37.1,34.3,34.1,31.3,29.2,29.2
L'Étang-Vergy (21220),/management/ville/l-etang-vergy/ville-21254,7.0,7.0,7.0,6.5,5.7,7.3,7.5,7.2,7.8,8.8,8.3,8.8,8.4
L'Étoile (39570),/management/ville/l-etoile/ville-39217,5.5,5.7,6.0,5.2,5.0,6.8,6.7,5.9,6.1,6.7,6.4,6.8,6.6
L'Étrat (42580),/management/ville/l-etrat/ville-42092,8.3,8.4,8.6,7.6,6.9,9.4,9.0,8.7,9.3,10.0,9.8,10.3,9.8
L'Habit (27220),/management/ville/l-habit/ville-27309,7.8,8.0,8.4,7.7,7.0,8.9,9.1,8.9,9.7,10.6,10.2,10.3,10.1
L'Haÿ-les-Roses (94240),/management/ville/l-hay-les-roses/ville-94038,9.0,8.8,8.5,7.8,6.7,7.8,8.1,7.9,8.4,8.8,8.7,9.0,8.4
L'Herbergement (85260),/management/ville/l-herbergement/ville-85108,7.4,7.4,7.3,6.6,5.7,7.5,7.6,7.1,7.5,8.2,8.1,8.6,7.9
L'Herm (09000),/management/ville/l-herm/ville-09138,8.4,9.0,9.6,9.0,8.2,10.2,10.3,10.1,11.4,12.4,11.9,12.2,11.8
L'Hermenault (85570),/management/ville/l-hermenault/ville-85110,7.2,7.0,7.1,6.3,5.8,8.3,8.2,8.0,9.0,10.1,9.6,9.7,9.0
L'Hermitage (35590),/management/ville/l-hermitage/ville-35131,6.0,6.1,6.5,5.9,5.0,6.9,6.8,6.6,7.4,8.1,7.9,8.1,7.7
L'Hôme-Chamondot (61290),/management/ville/l-home-chamondot/ville-61206,7.4,7.4,7.6,6.9,6.5,8.8,8.0,7.9,8.8,9.4,9.4,9.8,9.3
L'Honor-de-Cos (82130),/management/ville/l-honor-de-cos/ville-82076,8.5,8.7,9.2,9.0,8.0,9.5,9.9,9.7,10.6,11.6,11.2,12.0,11.7
L'Hôpital (57490),/management/ville/l-hopital/ville-57336,11.5,12.2,12.7,10.8,9.3,12.8,12.6,11.8,12.3,13.8,13.4,13.5,12.7
L'Hôpital-d'Orion (64270),/management/ville/l-hopital-d-orion/ville-64263,7.5,7.3,7.3,6.7,6.1,7.5,7.6,7.4,7.8,8.3,8.3,8.6,8.1
L'Hôpital-du-Grosbois (25620),/management/ville/l-hopital-du-grosbois/ville-25305,6.9,7.2,7.4,6.8,6.2,8.2,8.1,7.4,7.8,8.4,8.1,8.5,8.1
L'Hôpital-le-Grand (42210),/management/ville/l-hopital-le-grand/ville-42108,8.3,8.4,8.6,7.6,6.9,9.4,9.0,8.7,9.3,10.0,9.8,10.3,9.8
L'Hôpital-le-Mercier (71600),/management/ville/l-hopital-le-mercier/ville-71233,6.9,7.0,7.2,6.2,5.5,8.3,8.2,7.7,8.1,8.2,7.9,7.9,7.7
L'Hôpital-Saint-Blaise (64130),/management/ville/l-hopital-saint-blaise/ville-64264,6.5,6.1,6.5,5.9,6.1,7.6,6.9,6.7,7.2,7.4,7.3,7.1,6.8
L'Hôpital-Saint-Lieffroy (25340),/management/ville/l-hopital-saint-lieffroy/ville-25306,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
L'Hôpital-sous-Rochefort (42130),/management/ville/l-hopital-sous-rochefort/ville-42109,8.3,8.4,8.6,7.6,6.9,9.4,9.0,8.7,9.3,10.0,9.8,10.3,9.8
L'Horme (42152),/management/ville/l-horme/ville-42110,8.3,8.4,8.6,7.6,6.9,9.4,9.0,8.7,9.3,10.0,9.8,10.3,9.8
L'Hosmes (27570),/management/ville/l-hosmes/ville-27341,7.8,8.0,8.4,7.7,7.0,8.9,9.1,8.9,9.7,10.6,10.2,10.3,10.1
L'Hospitalet (04150),/management/ville/l-hospitalet/ville-04095,9.7,10.1,10.0,9.5,8.7,10.6,10.7,10.7,11.8,12.6,12.2,12.4,12.1
L'Hospitalet-du-Larzac (12230),/management/ville/l-hospitalet-du-larzac/ville-12115,6.9,7.1,7.7,6.9,6.6,8.3,8.4,8.3,8.9,10.0,9.7,10.3,9.8
L'Hospitalet-près-l'Andorre (09390),/management/ville/l-hospitalet-pres-l-andorre/ville-09139,8.4,9.0,9.6,9.0,8.2,10.2,10.3,10.1,11.4,12.4,11.9,12.2,11.8
L'Hôtellerie (14100),/management/ville/l-hotellerie/ville-14334,8.6,9.0,9.2,8.1,7.1,9.7,9.4,9.3,9.7,10.2,9.8,10.2,9.1
L'Houmeau (17137),/management/ville/l-houmeau/ville-17190,9.6,9.5,9.4,8.6,7.9,9.7,9.4,9.0,9.7,10.7,10.4,10.9,10.2
L'Huisserie (53970),/management/ville/l-huisserie/ville-53119,5.1,5.4,5.6,4.8,4.5,6.6,6.3,5.7,6.3,7.1,6.7,7.1,6.6
L'Île-Bouchard (37220),/management/ville/l-ile-bouchard/ville-37119,7.6,7.5,7.5,6.8,6.2,7.8,8.0,7.6,8.3,9.2,9.0,9.4,9.1
L'Île-d'Elle (85770),/management/ville/l-ile-d-elle/ville-85111,7.2,7.0,7.1,6.3,5.8,8.3,8.2,8.0,9.0,10.1,9.6,9.7,9.0
L'Île-d'Olonne (85340),/management/ville/l-ile-d-olonne/ville-85112,9.1,9.2,9.4,8.0,7.5,10.1,10.1,9.9,10.4,11.3,11.3,11.5,10.4
L'Île-d'Yeu (85350),/management/ville/l-ile-d-yeu/ville-85113,7.3,8.1,8.3,7.1,6.4,9.3,9.2,8.4,9.1,10.4,10.0,10.2,9.2
L'Île-Rousse (20220),/management/ville/l-ile-rousse/ville-2B134,11.6,12.4,11.6,10.5,9.8,10.9,11.1,10.9,11.9,12.7,12.8,13.2,12.6
L'Île-Saint-Denis (93450),/management/ville/l-ile-saint-denis/ville-93039,9.0,8.8,8.5,7.8,6.7,7.8,8.1,7.9,8.4,8.8,8.7,9.0,8.4
L'Isle-Adam (95290),/management/ville/l-isle-adam/ville-95313,9.6,9.7,9.5,8.8,7.7,9.4,9.7,9.7,10.3,11.0,10.9,11.2,10.7
L'Isle-Arné (32270),/management/ville/l-isle-arne/ville-32157,5.7,5.9,6.5,5.7,5.5,6.6,7.0,7.1,7.6,8.7,8.2,8.7,8.2
L'Isle-Bouzon (32380),/management/ville/l-isle-bouzon/ville-32158,5.7,5.9,6.5,5.7,5.5,6.6,7.0,7.1,7.6,8.7,8.2,8.7,8.2
L'Isle-d'Abeau (38080),/management/ville/l-isle-d-abeau/ville-38193,7.2,7.5,7.3,6.8,6.1,8.9,8.5,8.1,8.8,9.3,9.0,9.4,9.1
L'Isle-d'Espagnac (16340),/management/ville/l-isle-d-espagnac/ville-16166,8.4,8.6,8.8,8.2,7.6,9.4,9.1,9.2,10.3,10.9,10.3,10.6,10.1
L'Isle-de-Noé (32300),/management/ville/l-isle-de-noe/ville-32159,5.7,5.9,6.5,5.7,5.5,6.6,7.0,7.1,7.6,8.7,8.2,8.7,8.2
L'Isle-en-Dodon (31230),/management/ville/l-isle-en-dodon/ville-31239,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
L'Isle-en-Rigault (55000),/management/ville/l-isle-en-rigault/ville-55296,7.0,7.2,8.0,7.4,6.6,8.3,8.5,7.7,8.9,8.9,8.5,8.7,8.1
L'Isle-Jourdain (32600),/management/ville/l-isle-jourdain/ville-32160,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
L'Isle-sur-la-Sorgue (84800),/management/ville/l-isle-sur-la-sorgue/ville-84054,9.3,9.6,10.0,9.4,8.4,10.0,10.6,10.8,11.4,12.3,11.8,12.3,11.7
L'Isle-sur-le-Doubs (25250),/management/ville/l-isle-sur-le-doubs/ville-25315,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
L'Isle-sur-Serein (89440),/management/ville/l-isle-sur-serein/ville-89204,7.6,7.5,7.4,5.7,5.5,7.0,7.1,7.5,8.3,8.8,7.9,8.5,8.5
L'Orbrie (85200),/management/ville/l-orbrie/ville-85167,7.2,7.0,7.1,6.3,5.8,8.3,8.2,8.0,9.0,10.1,9.6,9.7,9.0
L'Union (31240),/management/ville/l-union/ville-31561,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
La Bachellerie (24210),/management/ville/la-bachellerie/ville-24020,7.4,7.6,7.7,7.1,6.5,8.2,8.4,8.7,9.7,10.1,10.0,10.5,9.9
La Baconnière (53240),/management/ville/la-baconniere/ville-53015,5.1,5.4,5.6,4.8,4.5,6.6,6.3,5.7,6.3,7.1,6.7,7.1,6.6
La Baffe (88460),/management/ville/la-baffe/ville-88028,8.9,9.6,9.9,8.7,8.1,10.4,9.9,9.7,10.9,11.7,11.7,12.1,11.2
La Baleine (50450),/management/ville/la-baleine/ville-50028,7.7,7.4,7.6,7.4,6.1,8.9,8.4,8.2,8.1,9.0,8.9,8.9,8.4
La Balme (73170),/management/ville/la-balme/ville-73028,6.8,6.6,6.4,5.9,5.4,7.4,7.7,7.2,7.5,8.0,7.9,8.3,7.8
La Balme-de-Sillingy (74330),/management/ville/la-balme-de-sillingy/ville-74026,6.1,5.9,5.6,4.9,4.3,6.6,6.7,5.9,6.3,6.6,6.5,6.7,6.3
La Balme-de-Thuy (74230),/management/ville/la-balme-de-thuy/ville-74027,6.1,5.9,5.6,4.9,4.3,6.6,6.7,5.9,6.3,6.6,6.5,6.7,6.3
La Balme-les-Grottes (38390),/management/ville/la-balme-les-grottes/ville-38026,6.0,6.0,6.0,5.1,4.9,7.1,7.3,6.7,7.4,7.7,7.3,7.8,7.4
La Barben (13330),/management/ville/la-barben/ville-13009,10.3,10.0,10.3,9.8,9.0,10.9,11.1,11.3,11.6,12.3,11.9,12.3,11.6
La Barde (17360),/management/ville/la-barde/ville-17033,8.0,8.1,8.5,7.3,6.4,7.9,8.4,8.3,9.1,9.6,9.0,9.8,9.7
La Baronnie (27220),/management/ville/la-baronnie/ville-27277,7.8,8.0,8.4,7.7,7.0,8.9,9.1,8.9,9.7,10.6,10.2,10.3,10.1
La Barre (39700),/management/ville/la-barre/ville-39039,6.9,7.2,7.4,6.8,6.2,8.2,8.1,7.4,7.8,8.4,8.1,8.5,8.1
La Barre-de-Monts (85550),/management/ville/la-barre-de-monts/ville-85012,7.3,8.1,8.3,7.1,6.4,9.3,9.2,8.4,9.1,10.4,10.0,10.2,9.2
La Barre-de-Semilly (50810),/management/ville/la-barre-de-semilly/ville-50032,5.5,5.8,6.1,5.8,5.0,6.8,6.6,6.6,6.9,7.6,7.2,7.6,7.5
La Barthe-de-Neste (65250),/management/ville/la-barthe-de-neste/ville-65069,9.1,8.9,9.1,8.4,7.7,9.7,9.9,9.9,10.7,11.5,11.2,11.7,11.2
La Basse-Vaivre (70210),/management/ville/la-basse-vaivre/ville-70051,6.7,7.4,8.0,7.1,6.6,9.2,8.5,7.9,9.0,10.0,9.8,9.7,8.7
La Bassée (59480),/management/ville/la-bassee/ville-59051,9.8,10.1,10.5,9.5,8.6,10.1,10.5,10.2,10.7,11.3,11.0,11.1,10.4
La Bastide (66110),/management/ville/la-bastide/ville-66018,11.2,11.2,11.1,11.2,10.1,12.5,12.7,13.0,14.3,15.6,15.5,16.3,15.9
La Bastide-Clairence (64240),/management/ville/la-bastide-clairence/ville-64289,7.6,7.6,7.3,7.0,6.3,8.0,7.9,7.9,8.7,9.2,8.8,9.2,8.7
La Bastide-d'Engras (30330),/management/ville/la-bastide-d-engras/ville-30031,10.2,10.3,10.5,9.7,9.0,10.6,10.4,10.6,11.2,12.5,12.2,12.5,12.1
La Bastide-de-Besplas (09350),/management/ville/la-bastide-de-besplas/ville-09038,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
La Bastide-de-Bousignac (09500),/management/ville/la-bastide-de-bousignac/ville-09039,8.4,9.0,9.6,9.0,8.2,10.2,10.3,10.1,11.4,12.4,11.9,12.2,11.8
La Bastide-de-Lordat (09700),/management/ville/la-bastide-de-lordat/ville-09040,8.4,9.0,9.6,9.0,8.2,10.2,10.3,10.1,11.4,12.4,11.9,12.2,11.8
La Bastide-de-Sérou (09240),/management/ville/la-bastide-de-serou/ville-09042,8.4,9.0,9.6,9.0,8.2,10.2,10.3,10.1,11.4,12.4,11.9,12.2,11.8
La Bastide-des-Jourdans (84240),/management/ville/la-bastide-des-jourdans/ville-84009,9.0,9.0,9.0,8.4,7.2,8.6,8.7,8.7,9.1,9.6,9.4,9.7,9.1
La Bastide-du-Salat (09160),/management/ville/la-bastide-du-salat/ville-09041,9.0,9.1,9.4,9.3,8.8,10.8,10.6,10.6,11.8,12.8,12.5,12.8,12.1
La Bastide-Pradines (12490),/management/ville/la-bastide-pradines/ville-12022,6.9,7.1,7.7,6.9,6.6,8.3,8.4,8.3,8.9,10.0,9.7,10.3,9.8
La Bastide-Puylaurent (48250),/management/ville/la-bastide-puylaurent/ville-48021,4.8,5.1,5.1,4.6,3.8,4.9,4.8,5.1,5.5,6.2,5.8,6.4,6.3
La Bastide-Solages (12550),/management/ville/la-bastide-solages/ville-12023,7.7,7.8,8.4,8.3,7.5,9.3,9.6,9.7,10.4,10.9,10.6,10.9,10.3
La Bastide-sur-l'Hers (09600),/management/ville/la-bastide-sur-l-hers/ville-09043,8.4,9.0,9.6,9.0,8.2,10.2,10.3,10.1,11.4,12.4,11.9,12.2,11.8
La Bastidonne (84120),/management/ville/la-bastidonne/ville-84010,9.0,9.0,9.0,8.4,7.2,8.6,8.7,8.7,9.1,9.6,9.4,9.7,9.1
La Bataille (79110),/management/ville/la-bataille/ville-79027,6.2,6.1,6.5,5.9,5.3,6.8,7.1,6.6,7.3,7.8,7.6,8.1,7.6
La Bâthie (73540),/management/ville/la-bathie/ville-73032,6.8,6.6,6.7,6.4,5.4,7.8,7.8,7.2,7.7,8.1,8.3,8.2,7.5
La Bâtie-des-Fonds (26310),/management/ville/la-batie-des-fonds/ville-26030,8.4,8.5,8.3,7.6,7.1,8.7,8.7,8.5,9.5,10.2,9.7,10.2,9.9
La Bâtie-Montgascon (38110),/management/ville/la-batie-montgascon/ville-38029,7.2,7.5,7.3,6.8,6.1,8.9,8.5,8.1,8.8,9.3,9.0,9.4,9.1
La Bâtie-Montsaléon (05700),/management/ville/la-batie-montsaleon/ville-05016,7.1,7.4,7.3,7.1,6.4,7.4,7.4,7.8,8.5,9.1,8.9,9.2,8.7
La Bâtie-Neuve (05230),/management/ville/la-batie-neuve/ville-05017,7.1,7.4,7.3,7.1,6.4,7.4,7.4,7.8,8.5,9.1,8.9,9.2,8.7
La Bâtie-Rolland (26160),/management/ville/la-batie-rolland/ville-26031,9.1,9.5,9.9,9.9,8.8,10.3,10.4,10.0,11.1,11.8,11.8,12.4,11.8
La Bâtie-Vieille (05000),/management/ville/la-batie-vieille/ville-05018,7.1,7.4,7.3,7.1,6.4,7.4,7.4,7.8,8.5,9.1,8.9,9.2,8.7
La Bauche (73360),/management/ville/la-bauche/ville-73033,7.4,7.3,7.2,6.6,5.9,7.9,7.5,7.3,7.6,8.1,7.9,8.4,8.0
La Baule-Escoublac (44500),/management/ville/la-baule-escoublac/ville-44055,9.4,8.8,8.4,7.9,6.0,8.4,9.1,8.3,8.5,9.6,9.5,9.3,8.7
La Baume (74430),/management/ville/la-baume/ville-74030,6.7,6.7,6.7,5.9,5.6,7.5,7.8,7.2,7.9,8.4,8.2,8.5,8.0
